start_station_name,num_trips_per_station,day_of_trip,member_casual,avg_ride_length
Cottage Grove Ave & 83rd St,20,3,casual,17.05
Cottage Grove Ave & 83rd St,24,1,casual,30.88
MLK Jr Dr & 83rd St,12,3,casual,18.58
MLK Jr Dr & 83rd St,10,6,casual,9.8
MLK Jr Dr & 83rd St,11,5,casual,169.36
MLK Jr Dr & 83rd St,10,7,casual,27.4
MLK Jr Dr & 83rd St,5,4,casual,10.6
Wabash Ave & 83rd St,5,4,casual,24.4
Wabash Ave & 83rd St,14,1,casual,262.14
Wabash Ave & 83rd St,4,6,casual,86.0
Wabash Ave & 83rd St,3,3,casual,26.33
South Chicago Ave & 83rd St,12,5,casual,314.25
South Chicago Ave & 83rd St,11,1,casual,182.55
South Chicago Ave & 83rd St,9,6,casual,193.67
Kilbourn Ave & Irving Park Rd,34,2,casual,24.79
Kilbourn Ave & Irving Park Rd,35,3,casual,18.97
Kilbourn Ave & Irving Park Rd,57,6,casual,74.16
Kilbourn Ave & Irving Park Rd,43,7,casual,32.81
Kilbourn Ave & Irving Park Rd,36,5,casual,10.25
Kilbourn Ave & Irving Park Rd,40,1,casual,53.33
Kilbourn Ave & Irving Park Rd,42,4,casual,15.76
Ada St & 117th St,1,4,casual,4.0
Eggleston Ave & 114th St,2,3,casual,7.0
Knox Ave & Montrose Ave,81,6,casual,42.05
Knox Ave & Montrose Ave,69,2,casual,17.45
Knox Ave & Montrose Ave,75,3,casual,18.97
Knox Ave & Montrose Ave,80,1,casual,26.96
Knox Ave & Montrose Ave,76,4,casual,39.93
Knox Ave & Montrose Ave,76,7,casual,18.78
Knox Ave & Montrose Ave,75,5,casual,39.35
Halsted St & 59th St,11,7,casual,28.73
Halsted St & 59th St,9,5,casual,21.22
Halsted St & 59th St,8,3,casual,17.5
Western Blvd & 48th Pl,38,1,casual,479.39
Western Blvd & 48th Pl,44,3,casual,13.48
Western Blvd & 48th Pl,42,6,casual,75.5
Western Blvd & 48th Pl,43,4,casual,11.74
Western Blvd & 48th Pl,50,7,casual,284.54
Western Blvd & 48th Pl,41,2,casual,191.54
Western Blvd & 48th Pl,50,5,casual,78.52
Wabash Ave & 87th St,40,7,casual,162.22
Wabash Ave & 87th St,39,2,casual,92.0
Wabash Ave & 87th St,47,5,casual,129.55
Wabash Ave & 87th St,47,6,casual,48.85
Wabash Ave & 87th St,40,1,casual,115.8
Wabash Ave & 87th St,37,4,casual,252.57
Wabash Ave & 87th St,35,3,casual,69.66
Benson Ave & Church St,378,1,casual,41.29
Benson Ave & Church St,411,7,casual,46.48
Benson Ave & Church St,342,5,casual,23.66
Benson Ave & Church St,269,3,casual,41.21
Benson Ave & Church St,261,4,casual,24.52
Benson Ave & Church St,303,6,casual,29.14
Benson Ave & Church St,308,2,casual,32.56
Elmwood Ave & Austin St,77,1,casual,28.53
Elmwood Ave & Austin St,76,6,casual,23.03
Elmwood Ave & Austin St,68,3,casual,21.82
Elmwood Ave & Austin St,46,4,casual,39.74
Elmwood Ave & Austin St,61,7,casual,24.56
Elmwood Ave & Austin St,69,5,casual,31.88
Elmwood Ave & Austin St,76,2,casual,35.78
Valli Produce - Evanston Plaza,63,1,casual,37.97
Valli Produce - Evanston Plaza,46,2,casual,17.5
Valli Produce - Evanston Plaza,69,3,casual,17.09
Valli Produce - Evanston Plaza,65,6,casual,60.43
Valli Produce - Evanston Plaza,59,7,casual,34.85
Valli Produce - Evanston Plaza,78,5,casual,36.05
Valli Produce - Evanston Plaza,38,4,casual,21.87
Dodge Ave & Church St,74,3,casual,118.39
Dodge Ave & Church St,61,2,casual,25.69
Dodge Ave & Church St,65,6,casual,34.06
Dodge Ave & Church St,71,7,casual,35.13
Dodge Ave & Church St,60,4,casual,15.32
Dodge Ave & Church St,63,5,casual,16.62
Dodge Ave & Church St,49,1,casual,38.9
Sheridan Rd & Noyes St (NU),411,7,casual,55.85
Sheridan Rd & Noyes St (NU),394,6,casual,19.57
Sheridan Rd & Noyes St (NU),377,5,casual,31.38
Sheridan Rd & Noyes St (NU),317,4,casual,22.62
Sheridan Rd & Noyes St (NU),453,1,casual,32.0
Sheridan Rd & Noyes St (NU),346,3,casual,23.17
Sheridan Rd & Noyes St (NU),334,2,casual,25.44
University Library (NU),240,6,casual,110.53
University Library (NU),185,5,casual,22.46
University Library (NU),175,4,casual,24.5
University Library (NU),219,7,casual,99.56
University Library (NU),226,1,casual,35.84
University Library (NU),195,2,casual,36.76
University Library (NU),181,3,casual,29.86
Lawrence Ave & 103rd St,2,1,casual,9.5
Mackinaw Ave & 108th St,2,4,casual,7.0
Ewing Ave & 105th St,2,1,casual,57.5
Public Rack - Vincennes Ave & 95th St,1,7,casual,22.0
Orleans St & Chestnut St (NEXT Apts),642,1,casual,18.52
Orleans St & Chestnut St (NEXT Apts),724,7,casual,22.92
Orleans St & Chestnut St (NEXT Apts),499,5,casual,20.49
Orleans St & Chestnut St (NEXT Apts),488,4,casual,14.58
Orleans St & Chestnut St (NEXT Apts),441,3,casual,13.24
Orleans St & Chestnut St (NEXT Apts),475,6,casual,15.03
Orleans St & Chestnut St (NEXT Apts),442,2,casual,14.91
Public Rack - Lafayette Ave & 95th St,2,6,casual,11.5
Lafayette Ave & 95th St,12,7,casual,14.92
Lafayette Ave & 95th St,9,2,casual,11.56
Lafayette Ave & 95th St,6,3,casual,8.83
Lafayette Ave & 95th St,10,5,casual,12.9
Lafayette Ave & 95th St,19,1,casual,17.26
Lafayette Ave & 95th St,11,6,casual,16.91
Michigan Ave & 8th St,2299,7,casual,49.4
Michigan Ave & 8th St,1488,6,casual,60.53
Michigan Ave & 8th St,1150,3,casual,48.28
Michigan Ave & 8th St,1241,5,casual,37.52
Michigan Ave & 8th St,2390,1,casual,41.3
Michigan Ave & 8th St,1159,4,casual,53.41
Michigan Ave & 8th St,1660,2,casual,34.88
Dearborn St & Van Buren St,585,7,casual,41.38
Dearborn St & Van Buren St,374,6,casual,33.55
Dearborn St & Van Buren St,514,1,casual,33.07
Dearborn St & Van Buren St,384,2,casual,23.19
Dearborn St & Van Buren St,380,3,casual,21.3
Dearborn St & Van Buren St,331,5,casual,30.8
Dearborn St & Van Buren St,306,4,casual,20.26
Parnell Ave & 98th St,2,3,casual,8.0
Halsted St & 95th St - SW,1,5,casual,10.0
Abbott Park,7,7,casual,0.57
Abbott Park,1,2,casual,5.0
Malcolm X College Vaccination Site,134,6,casual,24.16
Malcolm X College Vaccination Site,97,2,casual,29.26
Malcolm X College Vaccination Site,125,7,casual,37.3
Malcolm X College Vaccination Site,121,5,casual,25.5
Malcolm X College Vaccination Site,97,4,casual,18.04
Malcolm X College,12,6,casual,23.58
Malcolm X College Vaccination Site,104,1,casual,52.06
Malcolm X College Vaccination Site,119,3,casual,47.86
Malcolm X College,12,2,casual,11.75
Malcolm X College,7,3,casual,14.57
Malcolm X College,16,1,casual,18.38
Malcolm X College,7,5,casual,13.0
Malcolm X College,6,4,casual,31.83
Malcolm X College,26,7,casual,188.92
Clark St & Newport St,3309,7,casual,20.48
Clark St & Newport St,1086,3,casual,15.92
Clark St & Newport St,1224,4,casual,13.53
Clark St & Newport St,1403,5,casual,14.81
Clark St & Newport St,1834,6,casual,22.78
Clark St & Newport St,1148,2,casual,19.6
Clark St & Newport St,2080,1,casual,18.75
Orleans St & Hubbard St,338,2,casual,12.87
Orleans St & Hubbard St,555,7,casual,20.75
Orleans St & Hubbard St,346,6,casual,18.54
Orleans St & Hubbard St,551,1,casual,22.12
Orleans St & Hubbard St,377,5,casual,14.75
Orleans St & Hubbard St,373,4,casual,16.17
Orleans St & Hubbard St,369,3,casual,12.3
Wood St & Chicago Ave,373,5,casual,21.34
Wood St & Chicago Ave,560,7,casual,34.24
Wood St & Chicago Ave,307,4,casual,15.67
Wood St & Chicago Ave,405,1,casual,17.07
Wood St & Chicago Ave,263,2,casual,15.61
Wood St & Chicago Ave,250,3,casual,16.29
Wood St & Chicago Ave,419,6,casual,17.64
Clinton St & Jackson Blvd,605,7,casual,32.63
Clinton St & Jackson Blvd,587,6,casual,33.59
Clinton St & Jackson Blvd,581,2,casual,17.15
Clinton St & Jackson Blvd,627,3,casual,18.48
Clinton St & Jackson Blvd,709,5,casual,18.16
Clinton St & Jackson Blvd,528,1,casual,31.88
Clinton St & Jackson Blvd,650,4,casual,16.67
Lakefront Trail & Wilson Ave,474,5,casual,70.6
Lakefront Trail & Wilson Ave,1111,7,casual,42.4
Lakefront Trail & Wilson Ave,820,1,casual,76.07
Lakefront Trail & Wilson Ave,579,2,casual,40.04
Lakefront Trail & Wilson Ave,448,6,casual,34.57
Lakefront Trail & Wilson Ave,444,4,casual,46.63
Lakefront Trail & Wilson Ave,400,3,casual,36.77
Public Rack - Loomis St & 87th St,1,4,casual,7.0
Public Rack - Loomis St & 87th St,2,7,casual,13.0
Latrobe Ave & Chicago Ave,18,1,casual,191.67
Latrobe Ave & Chicago Ave,14,4,casual,440.07
Latrobe Ave & Chicago Ave,18,7,casual,39.44
Latrobe Ave & Chicago Ave,15,6,casual,129.53
Latrobe Ave & Chicago Ave,20,2,casual,724.0
Latrobe Ave & Chicago Ave,22,3,casual,225.86
Latrobe Ave & Chicago Ave,12,5,casual,19.42
Smith Park,112,1,casual,125.29
Smith Park,135,6,casual,35.59
Smith Park,91,3,casual,18.44
Smith Park,164,7,casual,22.3
Smith Park,121,5,casual,130.07
Smith Park,89,4,casual,29.75
Smith Park,90,2,casual,21.84
Western Ave & Fillmore St,154,6,casual,18.42
Western Ave & Fillmore St,155,5,casual,18.65
Western Ave & Fillmore St,140,3,casual,22.27
Western Ave & Fillmore St,175,7,casual,17.8
Western Ave & Fillmore St,130,4,casual,16.36
Western Ave & Fillmore St,152,1,casual,29.91
Western Ave & Fillmore St,112,2,casual,123.07
State St & 54th St,22,6,casual,364.23
State St & 54th St,19,3,casual,101.84
Cottage Grove Ave & 87th St,1,6,casual,29.0
State St & 54th St,14,7,casual,28.43
State St & 54th St,25,1,casual,214.48
State St & 54th St,12,4,casual,20.25
State St & 54th St,17,2,casual,12.94
State St & 54th St,12,5,casual,32.5
Elizabeth St & 59th St,8,6,casual,47.38
Elizabeth St & 59th St,6,7,casual,49.17
Elizabeth St & 59th St,8,4,casual,199.75
Stewart Ave & 63rd St,22,6,casual,7.77
Stewart Ave & 63rd St,28,5,casual,20.25
Stewart Ave & 63rd St,20,1,casual,28.45
Stewart Ave & 63rd St,25,3,casual,75.04
Stewart Ave & 63rd St,13,7,casual,129.38
Stewart Ave & 63rd St,18,2,casual,107.11
Eggleston Ave & 69th St,20,5,casual,80.65
Eggleston Ave & 69th St,22,7,casual,78.86
Eggleston Ave & 69th St,17,1,casual,702.53
Eggleston Ave & 69th St,17,4,casual,19.12
Eggleston Ave & 69th St,24,6,casual,75.46
Eggleston Ave & 69th St,18,3,casual,8.44
Eggleston Ave & 69th St,17,2,casual,202.12
Michigan Ave & 71st St,15,5,casual,21.87
Michigan Ave & 71st St,15,1,casual,214.07
Michigan Ave & 71st St,12,4,casual,85.25
Michigan Ave & 71st St,6,3,casual,35.17
Michigan Ave & 71st St,12,7,casual,21.08
Michigan Ave & 71st St,10,6,casual,169.0
Michigan Ave & 71st St,13,2,casual,18.54
Commercial Ave & 89th St,3,7,casual,28.67
Rhodes Ave & 71st St,8,7,casual,21.38
Rhodes Ave & 71st St,9,3,casual,17.11
Rhodes Ave & 71st St,5,6,casual,3411.6
Rhodes Ave & 71st St,6,4,casual,12.67
Rhodes Ave & 71st St,9,1,casual,33.56
Cornell Dr & Hayes Dr,25,7,casual,34.48
Cornell Dr & Hayes Dr,18,5,casual,23.78
Cornell Dr & Hayes Dr,13,2,casual,32.77
Cornell Dr & Hayes Dr,14,1,casual,30.71
Cornell Dr & Hayes Dr,11,3,casual,27.36
Cornell Dr & Hayes Dr,7,6,casual,25.14
Racine Ave & Washington Blvd,278,5,casual,16.99
Racine Ave & Washington Blvd,345,6,casual,15.61
Racine Ave & Washington Blvd,191,2,casual,14.8
Racine Ave & Washington Blvd,290,4,casual,18.01
Racine Ave & Washington Blvd,366,7,casual,21.17
Racine Ave & Washington Blvd,275,1,casual,18.67
Racine Ave & Washington Blvd,245,3,casual,13.13
Hoyne Ave & Balmoral Ave,319,7,casual,27.69
Hoyne Ave & Balmoral Ave,151,1,casual,28.1
Hoyne Ave & Balmoral Ave,66,2,casual,13.39
Hoyne Ave & Balmoral Ave,98,4,casual,18.08
Hoyne Ave & Balmoral Ave,147,6,casual,16.08
Hoyne Ave & Balmoral Ave,136,5,casual,11.82
Hoyne Ave & Balmoral Ave,54,3,casual,29.04
Wood St & Augusta Blvd,318,6,casual,14.45
Wood St & Augusta Blvd,238,2,casual,17.11
Wood St & Augusta Blvd,219,3,casual,13.81
Wood St & Augusta Blvd,261,5,casual,16.81
Wood St & Augusta Blvd,422,7,casual,21.29
Wood St & Augusta Blvd,323,1,casual,22.81
Wood St & Augusta Blvd,225,4,casual,15.56
Leavitt St & Division St,409,7,casual,17.04
Leavitt St & Division St,306,6,casual,53.48
Leavitt St & Division St,354,1,casual,16.27
Leavitt St & Division St,211,2,casual,13.83
Leavitt St & Division St,218,3,casual,15.63
Leavitt St & Division St,226,4,casual,19.85
Leavitt St & Division St,270,5,casual,17.3
Sheridan Rd & Columbia Ave,199,2,casual,102.54
Sheridan Rd & Columbia Ave,167,5,casual,41.69
Sheridan Rd & Columbia Ave,192,6,casual,33.13
Sheridan Rd & Columbia Ave,166,4,casual,26.78
Sheridan Rd & Columbia Ave,271,7,casual,77.52
Sheridan Rd & Columbia Ave,162,3,casual,24.19
Sheridan Rd & Columbia Ave,290,1,casual,30.7
Evanston Civic Center,105,1,casual,54.82
Langley Ave & 79th St,1,5,casual,4.0
Evanston Civic Center,143,7,casual,59.37
Evanston Civic Center,80,3,casual,26.32
Evanston Civic Center,89,2,casual,29.99
Evanston Civic Center,72,5,casual,15.93
Evanston Civic Center,74,4,casual,38.42
Evanston Civic Center,89,6,casual,26.48
Dodge Ave & Mulford St,44,4,casual,30.32
Dodge Ave & Mulford St,32,6,casual,28.69
Cottage Grove & 86th St,3,7,casual,37.67
Cottage Grove & 86th St,2,5,casual,8.5
Dodge Ave & Mulford St,40,1,casual,45.95
Dodge Ave & Mulford St,28,2,casual,22.11
Dodge Ave & Mulford St,34,7,casual,36.47
Dodge Ave & Mulford St,23,3,casual,30.61
83rd St (Avalon Park) Metra,2,3,casual,174.0
South Chicago Ave & Elliot Ave,7,3,casual,2219.0
South Chicago Ave & Elliot Ave,9,7,casual,13.22
South Chicago Ave & Elliot Ave,5,5,casual,310.2
South Chicago Ave & Elliot Ave,3,2,casual,10.67
Stony Island Ave & 86th St,2,5,casual,5.0
Jeffery Blvd & 83rd St,1,5,casual,5.0
Marquette Ave & 79th St,6,6,casual,23.0
Marquette Ave & 79th St,4,3,casual,4.75
Marquette Ave & 79th St,4,2,casual,26.5
Champlain Ave & 134th St,2,4,casual,81.0
Homan Ave & 111th St,2,5,casual,8.5
Trumbull Ave & 111th St,2,4,casual,12.0
Trumbull Ave & 111th St,1,5,casual,5.0
Rockwell & 111th St,6,6,casual,14.0
Rockwell & 111th St,6,3,casual,12.33
Rockwell & 111th St,3,7,casual,9.33
Western Ave & 111th St - NW,5,4,casual,7.6
Western Ave & 111th St - NW,7,6,casual,13.0
Public Rack - Western Ave & 116th St,1,6,casual,14.0
Kedzie & 103rd St - East,2,4,casual,9.0
Public Rack - Kedzie & 103rd St - W,1,6,casual,8.0
Public Rack - Western Ave & 106th St - East,2,5,casual,2.5
Western Ave & 106th St - East,5,1,casual,14.8
Western Ave & 105th St,2,3,casual,20.0
Public Rack - Western Ave & 105th St,4,7,casual,8.25
Public Rack - Western Ave & 104th St - East,3,7,casual,7.67
Public Rack - Western Ave & 104th St - East,2,1,casual,9.5
Western Ave & 104th St - East,1,5,casual,10.0
Public Rack - Western Ave & 104th St - East,1,4,casual,16.0
Walden Pkwy & 103rd St,7,4,casual,5.57
Walden Pkwy & 103rd St,6,5,casual,16.0
Walden Pkwy & 103rd St,12,6,casual,11.25
Walden Pkwy & 103rd St,7,7,casual,19.14
Public Rack - Walden Pkwy & 103rd St,2,7,casual,7.0
Walden Pkwy & 103rd St,9,3,casual,15.0
Walden Pkwy & 103rd St,8,2,casual,16.88
Public Rack - Wood St & 103rd St,2,5,casual,4.5
Wood St & 103rd St,3,7,casual,14.33
Wood St & 103rd St,6,6,casual,11.83
Wood St & 103rd St,5,3,casual,11.8
Western Ave & 100th St,1,1,casual,9.0
Western Ave & 100th St,3,5,casual,8.0
Public Rack - Western Ave & 100th St,1,4,casual,2.0
Western Ave & 100th St,7,7,casual,4.86
Public Rack - Hamilton Ave & 95th St,1,4,casual,13.0
Public Rack - Hamilton Ave & 95th St,1,6,casual,6.0
Bell Ave & 95th St,3,1,casual,14.33
Bell Ave & 95th St,2,5,casual,20.0
Public Rack - Bell Ave & 95th St,1,5,casual,16.0
Public Rack - Western Ave & 92nd Pl,2,7,casual,24.0
Western Ave & 92nd Pl,3,4,casual,24.0
Western Ave & 92nd Pl,11,1,casual,16.09
Western Ave & 92nd Pl,5,7,casual,10.0
Western Ave & 92nd Pl,9,2,casual,14.22
Western Ave & 92nd Pl,9,6,casual,14.89
Marshfield Ave & 87th St,1,1,casual,8.0
Winchester Ave & 87th St,3,1,casual,225.0
Halsted St & 94th St,2,2,casual,21.0
Lafayette Ave & 87th St - NW,2,6,casual,6.5
Lafayette Ave & 87th St - SW,2,7,casual,12.5
Lafayette Ave & 87th St - SW,3,5,casual,10.33
Lafayette Ave & 87th St - SW,3,4,casual,13.33
Western Ave & 79th St,8,7,casual,30.0
Western Ave & 79th St,2,2,casual,24.0
Claremont Ave & 71st St,3,7,casual,23.33
Claremont Ave & 71st St,2,4,casual,44.5
Claremont Ave & 71st St,8,5,casual,22.63
Public Rack - Ashland Ave & 76th St,1,6,casual,47.0
Racine Ave & 76th,3,7,casual,18.67
Racine Ave & 76th,3,2,casual,10.0
Halsted St & 76th St,4,7,casual,15.5
Halsted St & 76th St,2,3,casual,5.5
Jeffrey Blvd & 71st St,5,6,casual,22.0
Jeffrey Blvd & 71st St,2,3,casual,5.0
63rd & Western Ave - north corner,1,6,casual,9.0
63rd & Western Ave - north corner,3,4,casual,12.0
63rd & Western Ave - north corner,3,2,casual,6.33
63rd & Western Ave - north corner,2,1,casual,5.5
63rd & Western Ave - north corner,1,7,casual,16.0
Public Rack - Halsted St & 64th St,3,3,casual,21.67
Halsted St & 64th St,1,6,casual,23.0
Public Rack - Kimbark Ave & 67th St,2,3,casual,19.5
Kimbark Ave & 67th St,9,7,casual,11.78
Public Rack - Kimbark Ave & 67th St,3,1,casual,12.67
Kimbark Ave & 67th St,8,2,casual,32.38
Public Rack - Kimbark Ave & 67th St,2,2,casual,5.0
Kimbark Ave & 67th St,6,3,casual,11.33
Jeffery Blvd & 67th St,62,3,casual,75.71
Albany Ave & 63rd St,2,2,casual,25.5
Public  Rack - Albany Ave & 63rd St,1,3,casual,9.0
Albany Ave & 63rd St,4,6,casual,13.25
Albany Ave & 63rd St,9,5,casual,43.11
Kedzie Ave & 63rd St,9,2,casual,17.56
Kedzie Ave & 63rd St,4,7,casual,26.0
Washtenaw Ave & 63rd St,4,6,casual,12.25
Public Rack - Springfield Ave & 63rd St,1,6,casual,2.0
Springfield Ave & 63rd St,5,5,casual,10.4
Springfield Ave & 63rd St,1,7,casual,8.0
Springfield Ave & 63rd St,2,2,casual,9.5
Kedzie Ave & 64th St - SW,6,2,casual,18.5
Public Rack - Kedzie Ave & 64th St - SW,5,6,casual,13.0
Kedzie Ave & 64th St - SW,2,5,casual,5.5
Kedvale Ave & 63rd St,1,4,casual,0.0
Public Rack - Harold Washington Park,5,5,casual,5.4
Harold Washington Park,9,2,casual,22.33
Harold Washington Park,8,3,casual,13.13
Harold Washington Park,8,6,casual,16.75
Harold Washington Park,7,7,casual,26.57
Harold Washington Park,4,1,casual,30.75
Hyde Park Blvd & 53rd St,13,6,casual,23.92
Public Rack - Hyde Park Blvd & 53rd St,1,5,casual,4.0
Hyde Park Blvd & 53rd St,7,5,casual,18.57
Hyde Park Blvd & 53rd St,7,4,casual,7.71
Hyde Park Blvd & 53rd St,9,7,casual,37.22
Hyde Park Blvd & 55th St,16,7,casual,22.38
Hyde Park Blvd & 55th St,17,1,casual,16.24
Hyde Park Blvd & 55th St,14,2,casual,17.29
Hyde Park Blvd & 55th St,21,5,casual,12.14
Hyde Park Blvd & 55th St,14,6,casual,14.36
Hyde Park Blvd & 55th St,15,3,casual,30.4
Hyde Park Blvd & 55th St,18,4,casual,14.22
Public Rack - Hyde Park Blvd & 55th St,5,6,casual,10.2
Throop St & 58th St,1,5,casual,22.0
Kedzie Ave & 61st Pl,15,6,casual,17.73
Kedzie Ave & 61st Pl,11,5,casual,13.27
Kedzie Ave & 61st Pl,5,3,casual,11.4
Kedzie Ave & 61st Pl,7,7,casual,16.57
Christiana Ave & 55th St,2,4,casual,23.5
Kedzie Ave & 58th St,7,1,casual,11.14
Kedzie Ave & 58th St,5,3,casual,7.6
Kedzie Ave & 58th St,2,5,casual,2.0
Public Rack - Kedzie Ave & 58th St,2,1,casual,7.5
Kedzie Ave & 58th St,4,4,casual,13.75
Komensky Ave & 59th St,3,6,casual,10.33
Komensky Ave & 59th St,2,7,casual,6.0
Public Rack - Komensky Ave & 59th St,1,4,casual,4.0
Komensky Ave & 59th St,8,5,casual,17.0
Midway Orange Line,31,5,casual,14.97
Midway Orange Line,23,4,casual,11.61
Midway Orange Line,10,1,casual,9.4
Public Rack - Midway Orange Line,8,5,casual,3.88
Public Rack - Midway Orange Line,4,7,casual,3.0
Public Rack - Midway Orange Line,4,4,casual,6.75
Midway Orange Line,15,3,casual,13.93
Public Rack - Midway Orange Line,1,1,casual,22.0
Public Rack - Midway Orange Line,5,2,casual,4.0
Public Rack - Midway Orange Line,3,3,casual,3.33
Midway Orange Line,19,7,casual,9.26
Midway Orange Line,13,2,casual,7.08
California Ave & Pershing Rd,1,3,casual,14.0
Brighton Park Branch Chicago Library,2,5,casual,31.5
Central Ave & Congress Pkwy,1,2,casual,91.0
Mason Ave & Roosevelt Rd,2,4,casual,36.0
Public Rack - Central Ave & Corcoran Pl,4,1,casual,5.0
Austin Branch Chicago Public Library,2,5,casual,10.0
Austin Branch Chicago Public Library,1,4,casual,19.0
Newcastle Ave & Belden Ave,3,1,casual,36.33
Newcastle Ave & Belden Ave,3,2,casual,6.33
Newcastle Ave & Belden Ave,5,3,casual,30.6
Newcastle Ave & Belden Ave,3,4,casual,17.33
Newcastle Ave & Belden Ave,9,6,casual,17.89
Public Rack - Harriet E Sayre Public School,1,3,casual,24.0
Harriet E Sayre Public School,1,2,casual,31.0
N Narragansett Ave & Grand Ave,7,4,casual,6.0
Public Rack - N Narragansett Ave & Grand Ave,2,7,casual,13.5
N Narragansett Ave & Grand Ave,3,3,casual,10.67
N Narragansett Ave & Grand Ave,2,1,casual,9.5
N Narragansett Ave & Grand Ave,7,6,casual,13.14
N Sayre Ave & W Belden Ave,1,3,casual,14.0
Newcastle Ave & Wellington Ave,2,6,casual,5.0
Neva Ave & Grand Ave,3,4,casual,10.33
Neva Ave & Grand Ave,5,6,casual,15.8
Public Rack - Neva Ave & Grand Ave,1,6,casual,7.0
Rutherford Ave & Belmont Ave,4,6,casual,22.75
Newcastle Ave & Belmont Ave,3,7,casual,19.67
Public Rack - Newcastle Ave & Belmont Ave,1,7,casual,12.0
Nagle Ave & Belmont Ave,3,2,casual,8.33
Public Rack - Nagle Ave & Belmont Ave,3,4,casual,4.67
Public Rack - Nagle Ave & Belmont Ave,5,1,casual,16.6
Nagle Ave & Belmont Ave,5,3,casual,8.0
Nagle Ave & Belmont Ave,3,4,casual,18.33
Lake Park Ave & 47th St,185,2,casual,51.01
Public Rack - Calumet Ave & 51st St,5,6,casual,0.8
Public Rack - Calumet Ave & 51st St,2,3,casual,0.0
Prairie Ave & 47th St - midblock,7,7,casual,16.29
Lowe Park,1,2,casual,12.0
Robert Fulton Elementary School,9,4,casual,20.44
Public Rack - Robert Fulton Elementary School,1,2,casual,22.0
Robert Fulton Elementary School,10,2,casual,18.0
Robert Fulton Elementary School,5,1,casual,26.0
Western Blvd & 49th St,21,7,casual,9.1
Western Blvd & 49th St,12,3,casual,10.5
Western Blvd & 49th St,15,1,casual,11.07
Public Rack - Western Blvd & 49th St,6,3,casual,5.67
Public Rack - Western Blvd & 49th St,5,4,casual,5.6
Western Blvd & 49th St,18,6,casual,8.39
Western Blvd & 49th St,14,5,casual,7.57
Public Rack - Western Blvd & 49th St,7,2,casual,8.14
Western Blvd & 49th St,12,2,casual,9.58
Public Rack - Western Blvd & 49th St,10,6,casual,10.4
Talman Ave & 51st St - midblock,4,5,casual,4.25
Talman Ave & 51st St - midblock,4,1,casual,7.25
Kedzie Ave & 54th St - SE,3,6,casual,7.0
Kedzie Ave & 54th St - SE,7,7,casual,13.43
Kedzie Ave & 54th St - SE,7,4,casual,9.57
Avers Ave & Archer Ave,7,7,casual,20.0
Public Rack - Avers Ave & Archer Ave,1,6,casual,16.0
Kedzie Ave & 54th St - SW,6,6,casual,11.33
Harding Ave & 47th St,1,3,casual,14.0
Harding Ave & 47th St,1,1,casual,11.0
Strohacker Park,1,3,casual,2.0
Archer Park,5,5,casual,10.8
Public Rack - Pulaski Rd & 51st Rd,1,5,casual,16.0
Pulaski Rd & 51st Rd,2,4,casual,6.5
Pulaski Rd & 51st Rd,4,2,casual,9.75
Public Rack - Pulaski Rd & 51st Rd,2,4,casual,11.5
Pulaski & 52nd,4,2,casual,7.75
Pulaski & 52nd,7,3,casual,8.57
Public Rack - Kolin Ave & Archer Ave,1,6,casual,21.0
Kolin Ave & Archer Ave,2,2,casual,3.5
Kolin Ave & Archer Ave,3,5,casual,6.0
Christiana Ave & Archer Ave,4,1,casual,12.25
Christiana Ave & Archer Ave,4,5,casual,9.25
Christiana Ave & Archer Ave,10,2,casual,5.2
Public Rack - Christiana Ave & Archer Ave,5,5,casual,4.6
Public Rack - Christiana Ave & Archer Ave,4,3,casual,6.5
Public Rack - Pulaski Rd & 44th St,6,2,casual,7.5
Pulaski Rd & 44th St,9,2,casual,13.56
Public Rack - Pulaski Rd & 44th St,2,4,casual,5.5
Pulaski Rd & 44th St,2,6,casual,6.5
Pulaski Rd & 44th St,2,5,casual,28.0
Pulaski Rd & 40th St,1,4,casual,2.0
Pulaski Rd & 40th St,2,2,casual,29.0
Pubic Rack - Pulaski Rd & 41st,3,3,casual,3.33
Pulaski Rd & 41st,3,3,casual,9.33
Pubic Rack - Pulaski Rd & 41st,2,1,casual,8.0
Pulaski Rd & 41st,3,4,casual,16.33
Public Rack - Damen Ave & 47th St,1,3,casual,8.0
Bishop St & 46th St,1,2,casual,6.0
Keeler Ave & Madison St,2,5,casual,42.0
Keeler Ave & Madison St,1,3,casual,11.0
Sacramento Blvd & Washington Blvd,2,4,casual,13.0
Public Rack - Washtenaw Ave & Superior St,6,7,casual,9.17
Washtenaw Ave & Superior St,18,6,casual,8.67
Washtenaw Ave & Superior St,12,3,casual,17.33
Washtenaw Ave & Superior St,14,1,casual,13.36
Public Rack - Washtenaw Ave & Superior St,7,3,casual,15.29
Washtenaw Ave & Superior St,16,4,casual,22.56
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,2,7,casual,16.0
Sawyer Ave & Bryn Mawr Ave - SE,1,3,casual,34.0
Public Rack - Christiana Ave & Bryn Mawr Ave,2,7,casual,15.0
Public Rack - Christiana Ave & Bryn Mawr Ave,2,4,casual,12.5
Public Rack - Spaulding Ave & Foster Ave,5,3,casual,10.2
Public Rack - Spaulding Ave & Foster Ave,4,4,casual,24.25
